StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q6,Q5,Q16,Q18,Q17,Q20,Q19,Q21,Q22,Q24,Q23,Q26,Q25,Q27,Q29,Q30,Q28,Q9,Q10,Q11,Q12,Q13_1
2021-11-11 17:40:15,2021-11-11 17:41:23,IP Address,65.112.8.28,100,67,True,2021-11-11 17:41:23,R_27ptLwC4FJ6d2je,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Some of the time,Yes,,,,Much less likely,Somewhat more likely,Much less likely,,,,,,,,,,,,,Single,White,Female,Very Liberal,8
2021-11-11 17:40:54,2021-11-11 17:41:47,IP Address,65.112.8.26,100,52,True,2021-11-11 17:41:47,R_0pLj1LG78IwhH9v,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Most of the time,Yes,,,,,,,,,,,,,Somewhat less likely,Much more likely,Much less likely,,,,Single,White,Male,Somewhat Liberal,7.9
2021-11-11 17:40:39,2021-11-11 17:42:41,IP Address,72.180.82.136,100,122,True,2021-11-11 17:42:42,R_10Pprhuvz5Qazm9,,,,,33.0325927734375,-96.78589630126953125,anonymous,EN,0.89999997615814208984375,Never,Some of the time,No,,,,,,,Somewhat more likely,Somewhat less likely,Somewhat less likely,,,,,,,,,,Single,Hispanic,Female,Somewhat Liberal,7.5
2021-11-11 17:41:43,2021-11-11 17:42:44,IP Address,104.28.57.67,100,61,True,2021-11-11 17:42:44,R_3mkT27C0tSnNg76,,,,,42.356201171875,-71.06310272216796875,anonymous,EN,1,Rarely,Most of the time,Yes,,,,,,,,,,Somewhat more likely,Much more likely,Somewhat more likely,,,,,,,Single,Hispanic,Male,Moderate,0.8
2021-11-11 17:41:40,2021-11-11 17:42:58,IP Address,65.112.8.16,100,78,True,2021-11-11 17:42:58,R_CZIRui4bzFvvI2J,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Only now and then,No,,,,,,,,,,,,,,,,Unchanged,Somewhat less likely,Much less likely,In an exclusive relationship,White,Male,Moderate,8.8
2021-11-11 17:38:23,2021-11-11 17:43:18,IP Address,65.112.8.135,100,294,True,2021-11-11 17:43:19,R_3O8J9fmY78RlIlq,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Rarely,Most of the time,Yes,,,,,,,,,,,,,,,,Somewhat less likely,Much less likely,Somewhat more likely,In an exclusive relationship,Hispanic,Female,Somewhat Liberal,7
2021-11-11 17:43:29,2021-11-11 17:45:38,IP Address,65.112.8.59,100,128,True,2021-11-11 17:45:38,R_2SIdjSUe4w4r6eO,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,Yes,,,,,,,,,,Somewhat more likely,Unchanged,Somewhat less likely,,,,,,,In an exclusive relationship,White,Female,Somewhat Liberal,6.5
2021-11-11 17:46:29,2021-11-11 17:47:33,IP Address,65.112.8.54,100,63,True,2021-11-11 17:47:33,R_BWLcwP0JowheBEd,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,No,,,,,,,,,,,,,,,,Unchanged,Much less likely,Much more likely,Single,Black or African American,Female,Very Liberal,7.5
2021-11-11 17:48:28,2021-11-11 17:49:01,IP Address,2.57.169.168,100,33,True,2021-11-11 17:49:02,R_2f0S4t35CoH02C1,,,,,43.6226959228515625,-79.38919830322265625,anonymous,EN,1,Very often,Most of the time,Yes,,,,Much more likely,Much more likely,Much more likely,,,,,,,,,,,,,Single,White,Male,Moderate,6.4
2021-11-11 17:49:27,2021-11-11 17:50:45,IP Address,65.112.8.24,100,78,True,2021-11-11 17:50:45,R_1exwvY0fjANZ7dl,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Hardly at all,No,Much more likely,Much more likely,Much less likely,,,,,,,,,,,,,,,,Single,Other,Male,Somewhat Conservative,7
2021-11-11 17:50:28,2021-11-11 17:51:25,IP Address,65.112.8.52,100,57,True,2021-11-11 17:51:26,R_3D6nCbBOPgm2R7c,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Hardly at all,Yes,,,,,,,Unchanged,Somewhat less likely,Much more likely,,,,,,,,,,Single,Asian/Pacific Islander,Male,Moderate,0
2021-11-11 17:51:32,2021-11-11 17:52:39,IP Address,65.112.8.27,100,67,True,2021-11-11 17:52:40,R_3EW5E6iFqXghy0b,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Only now and then,No,,,,,,,Somewhat more likely,Somewhat less likely,Unchanged,,,,,,,,,,Single,White,Female,Somewhat Liberal,7.6
2021-11-11 17:52:41,2021-11-11 17:54:02,IP Address,174.196.198.255,100,81,True,2021-11-11 17:54:02,R_QayFRXHlQx2LVqV,,,,,42.3634033203125,-71.07129669189453125,anonymous,EN,0.89999997615814208984375,Rarely,Some of the time,No,,,,Much less likely,Much more likely,Somewhat more likely,,,,,,,,,,,,,In an exclusive relationship,White,Female,Somewhat Liberal,6.6
2021-11-11 17:53:30,2021-11-11 17:54:13,IP Address,65.112.8.29,100,43,True,2021-11-11 17:54:14,R_6Jts3gUB9VYNxxn,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Never,Only now and then,No,,,,,,,,,,,,,,,,Unchanged,Somewhat less likely,Somewhat more likely,Single,White,Female,Somewhat Liberal,5.8
2021-11-11 17:54:50,2021-11-11 17:55:27,IP Address,65.112.8.50,100,36,True,2021-11-11 17:55:27,R_3DjZ0RseKflN5tw,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Only now and then,No,Unchanged,Unchanged,Unchanged,,,,,,,,,,,,,,,,Single,White,Female,Somewhat Liberal,6.5
2021-11-11 17:54:45,2021-11-11 17:55:27,IP Address,65.112.8.16,100,42,True,2021-11-11 17:55:28,R_3lYrX3YHcRa5VY8,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Some of the time,No,,,,,,,,,,Much more likely,Somewhat less likely,Much less likely,,,,,,,Single,White,Female,Somewhat Liberal,6.5
2021-11-11 17:54:41,2021-11-11 17:56:06,IP Address,65.112.8.18,100,85,True,2021-11-11 17:56:07,R_1QszyOuMiSiDY1L,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Never,Most of the time,No,,,,Somewhat less likely,Somewhat more likely,Somewhat more likely,,,,,,,,,,,,,Single,White,Male,Somewhat Liberal,7.2
2021-11-11 17:56:31,2021-11-11 17:57:32,IP Address,98.47.66.247,100,60,True,2021-11-11 17:57:32,R_3Pn4QOyv9nFFYKJ,,,,,37.3419952392578125,-121.90489959716796875,anonymous,EN,1,Very often,Hardly at all,Yes,,,,,,,Somewhat more likely,Much less likely,Somewhat more likely,,,,,,,,,,Other,Asian/Pacific Islander,Female,Somewhat Liberal,
2021-11-11 17:59:27,2021-11-11 18:00:42,IP Address,65.112.8.59,100,75,True,2021-11-11 18:00:43,R_1Qtk55dJI88aGPy,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,No,,,,,,,,,,Somewhat less likely,Somewhat less likely,Much less likely,,,,,,,In an exclusive relationship,White,Female,Somewhat Liberal,7.5
2021-11-11 17:58:58,2021-11-11 18:00:51,IP Address,174.196.197.63,100,112,True,2021-11-11 18:00:51,R_25F3PohrvwLnkzL,,,,,42.2505950927734375,-71.12860107421875,anonymous,EN,1,Never,Only now and then,Yes,,,,,,,,,,,,,,,,Somewhat less likely,Much less likely,Somewhat more likely,In an exclusive relationship,Hispanic,Female,Somewhat Liberal,10
2021-11-11 17:59:55,2021-11-11 18:01:23,IP Address,65.112.8.31,100,87,True,2021-11-11 18:01:23,R_3qeSd7WGvWD4wrz,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Only now and then,No,,,,,,,,,,,,,Somewhat less likely,Somewhat more likely,Much less likely,,,,In an exclusive relationship,White,Female,Very Liberal,7
2021-11-11 18:03:26,2021-11-11 18:05:47,IP Address,65.112.8.20,100,140,True,2021-11-11 18:05:47,R_3PBRfVkbL3W3UVW,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Some of the time,No,Much more likely,Somewhat more likely,Unchanged,,,,,,,,,,,,,,,,Single,Other,Male,Very Conservative,7
2021-11-11 18:05:32,2021-11-11 18:07:24,IP Address,65.112.8.59,100,111,True,2021-11-11 18:07:24,R_32Wr2NQYRZWDa4M,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Never,Some of the time,Yes,,,,Somewhat less likely,Unchanged,Unchanged,,,,,,,,,,,,,In an exclusive relationship,White,Female,Very Liberal,7.1
2021-11-11 18:06:38,2021-11-11 18:07:33,IP Address,65.112.8.26,100,54,True,2021-11-11 18:07:34,R_1eFdfR1TOyUKaf8,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Hardly at all,No,,,,Much less likely,Unchanged,Unchanged,,,,,,,,,,,,,Single,Black or African American,Male,Somewhat Liberal,
2021-11-11 18:06:54,2021-11-11 18:07:47,IP Address,65.112.8.23,100,53,True,2021-11-11 18:07:47,R_20ShfwtxwS2i5xE,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Very often,Some of the time,Yes,,,,,,,,,,,,,,,,Somewhat less likely,Much less likely,Much more likely,Single,Other,Male,Very Liberal,5
2021-11-11 18:08:38,2021-11-11 18:09:37,IP Address,65.112.8.22,100,58,True,2021-11-11 18:09:37,R_ZyHbniVtbGB2nfP,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Hardly at all,Yes,,,,,,,Unchanged,Somewhat less likely,Much more likely,,,,,,,,,,Single,Hispanic,Female,Moderate,9.2
2021-11-11 18:11:17,2021-11-11 18:11:57,IP Address,65.112.8.25,100,39,True,2021-11-11 18:11:57,R_zbVM8o9O1K2yxqh,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Sometimes,Some of the time,Yes,,,,,,,,,,Somewhat more likely,Somewhat less likely,Much less likely,,,,,,,In an exclusive relationship,White,Female,Somewhat Liberal,7.6
2021-11-11 18:11:11,2021-11-11 18:12:10,IP Address,65.112.8.23,100,59,True,2021-11-11 18:12:12,R_2DTt14N6rTj8Dxf,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,Yes,,,,,,,,,,Much more likely,Somewhat more likely,Much less likely,,,,,,,Single,Asian/Pacific Islander,Male,Somewhat Liberal,7
2021-11-11 18:13:35,2021-11-11 18:14:34,IP Address,65.112.8.20,100,59,True,2021-11-11 18:14:34,R_1pVSOrxDCG86s2i,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Some of the time,No,,,,,,,,,,,,,,,,Unchanged,Unchanged,Unchanged,Single,White,Male,Somewhat Liberal,7
2021-11-11 18:14:08,2021-11-11 18:14:59,IP Address,65.112.8.27,100,51,True,2021-11-11 18:14:59,R_1QzqPvOhXl34pGw,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Only now and then,No,Unchanged,Unchanged,Unchanged,,,,,,,,,,,,,,,,Single,White,Male,Somewhat Liberal,7.2
2021-11-11 17:59:42,2021-11-11 18:17:14,IP Address,65.112.8.54,100,1051,True,2021-11-11 18:17:15,R_XLJuWFXpg5G5RhD,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,No,,,,,,,,,,,,,Somewhat less likely,Unchanged,Much less likely,,,,In an exclusive relationship,White,Male,Very Liberal,5
2021-11-11 18:20:30,2021-11-11 18:21:51,IP Address,65.112.8.16,100,80,True,2021-11-11 18:21:51,R_29h1keWiXhYuvT1,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,Yes,,,,,,,Much more likely,Much less likely,Unchanged,,,,,,,,,,Single,White,Male,Very Liberal,5
2021-11-11 18:22:57,2021-11-11 18:24:18,IP Address,65.112.8.31,100,81,True,2021-11-11 18:24:18,R_A4FQhf70f4vnz5T,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Hardly at all,Yes,,,,,,,,,,,,,Unchanged,Somewhat more likely,Much less likely,,,,Other,Hispanic,Female,Somewhat Liberal,7.9
2021-11-11 18:35:17,2021-11-11 18:36:08,IP Address,65.112.8.53,100,51,True,2021-11-11 18:36:09,R_3Fc4uTFdn5aOZZ7,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Hardly at all,No,,,,,,,,,,,,,,,,Much more likely,Much less likely,Much more likely,Single,White,Male,Somewhat Liberal,7
2021-11-11 18:35:45,2021-11-11 18:36:45,IP Address,65.112.8.61,100,60,True,2021-11-11 18:36:45,R_cB040WC39hLH5cZ,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,No,,,,,,,,,,,,,Somewhat less likely,Somewhat less likely,Somewhat less likely,,,,In an exclusive relationship,White,Male,Somewhat Conservative,7.5
2021-11-11 18:36:32,2021-11-11 18:37:39,IP Address,65.112.8.31,100,66,True,2021-11-11 18:37:39,R_2qenoVF0qfaxVdu,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Only now and then,Yes,,,,,,,Much more likely,Much less likely,Unchanged,,,,,,,,,,Single,White,Female,Very Liberal,6
2021-11-11 18:37:09,2021-11-11 18:38:42,IP Address,65.112.8.25,100,92,True,2021-11-11 18:38:42,R_3gRDcoXwHrQjNYB,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,Yes,Much less likely,Somewhat less likely,Much more likely,,,,,,,,,,,,,,,,In an exclusive relationship,White,Male,Somewhat Liberal,
